Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Prabu, G.T.V., Dhurai, B.","8435767500; 6506815112","A Novel Profiled Multi-Pin Electrospinning System for Nanofiber Production and Encapsulation of Nanoparticles into Nanofibers",2020,"Scientific Reports",10,"1", 4302,,,,,10.1038/s41598-020-60752-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85081629590&partnerID=40&md5=a58cedf4d3084ff77d50771c1ef13bbe",Article,Final,Open Access,Scopus,2-s2.0-85081629590
"Nagiah, N., Murdock, C.J., Bhattacharjee, M., Nair, L., Laurencin, C.T.","57189854966; 57213833886; 55255709600; 57203998256; 7006072296","Development of Tripolymeric Triaxial Electrospun Fibrous Matrices for Dual Drug Delivery Applications",2020,"Scientific Reports",10,"1", 609,,,,,10.1038/s41598-020-57412-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85078000272&partnerID=40&md5=5cb85e1febd53f56f1c7d8d0bec7d1b7",Article,Final,Open Access,Scopus,2-s2.0-85078000272
"Kim, Y., Wu, X., Oh, J.H.","56531222400; 57214996890; 7402155486","Fabrication of triboelectric nanogenerators based on electrospun polyimide nanofibers membrane",2020,"Scientific Reports",10,"1", 2742,,,,,10.1038/s41598-020-59546-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85079600205&partnerID=40&md5=7fe8fb95017e2439923ec06b150a7a92",Article,Final,Open Access,Scopus,2-s2.0-85079600205
"Al Kayal, T., Losi, P., Pierozzi, S., Soldani, G.","37076550900; 16316684600; 57215857051; 7005206730","A New Method for Fibrin-Based Electrospun/Sprayed Scaffold Fabrication",2020,"Scientific Reports",10,"1", 5111,,,,1,10.1038/s41598-020-61933-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85082124024&partnerID=40&md5=2701a161df6891e5bb5858bf4a344eb0",Article,Final,Open Access,Scopus,2-s2.0-85082124024
"George, D., Garcia, A., Pham, Q., Perez, M.R., Deng, J., Nguyen, M.T., Zhou, T., Martinez-Chapa, S.O., Won, Y., Liu, C., Lo, R.C., Ragan, R., Madou, M.","57205970953; 57211347502; 57195577288; 57213196875; 56978518600; 57213189312; 57213188967; 23091622600; 36085855400; 57214760926; 8766567500; 7006310430; 7005485160","Fabrication of patterned graphitized carbon wires using low voltage near-field electrospinning, pyrolysis, electrodeposition, and chemical vapor deposition",2020,"Microsystems and Nanoengineering",6,"1", 7,,,,,10.1038/s41378-019-0117-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85077714590&partnerID=40&md5=e0d6a91610e01af4577562616168e9b8",Article,Final,Open Access,Scopus,2-s2.0-85077714590
"Sfouq Aleanizy, F., Yahya Alqahtani, F., Alkahtani, H.M., Alquadeib, B., Eltayeb, E.K., Aldarwesh, A., Abdelhady, H.G., Alsarra, I.A.","57215593063; 57215581575; 54880800100; 36173995500; 57215580628; 56507339300; 6508306375; 6602556772","Colored Polymeric Nanofiber Loaded with Minoxidil Sulphate as Beauty Coverage and Restoring Hair Loss",2020,"Scientific Reports",10,"1", 4084,,,,,10.1038/s41598-020-60863-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85081220697&partnerID=40&md5=6aab562e3f1e27f4813750ea0a305671",Article,Final,Open Access,Scopus,2-s2.0-85081220697
"Xue, Y.L., Huang, J., Lau, C.H., Cao, B., Li, P.","57205443723; 57215845569; 35096299300; 26641780700; 55147513500","Tailoring the molecular structure of crosslinked polymers for pervaporation desalination",2020,"Nature Communications",11,"1", 1461,,,,,10.1038/s41467-020-15038-w,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85082075068&partnerID=40&md5=35658153b2ed17af00167bd26bc365d7",Article,Final,Open Access,Scopus,2-s2.0-85082075068
"Seok Jo, H., An, S., Kwon, H.-J., Yarin, A.L., Yoon, S.S.","57205515312; 55548981500; 57204503554; 7006353617; 55279275100","Transparent Body-Attachable Multifunctional Pressure, Thermal, and Proximity Sensor and Heater",2020,"Scientific Reports",10,"1", 2701,,,,,10.1038/s41598-020-59450-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85079361270&partnerID=40&md5=32e598b19a5e87b16f2324e7c4537a0d",Article,Final,Open Access,Scopus,2-s2.0-85079361270
"Gurtubay, I.G., Iturbe-Beristain, A., Eiguren, A.","36794857400; 57214097562; 6603016331","Magnetic oscillations induced by phonons in non-magnetic materials",2020,"Communications Physics",3,"1", 22,,,,,10.1038/s42005-020-0289-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85078211443&partnerID=40&md5=ecbc0a14d8462734b78172676d74fe82",Article,Final,Open Access,Scopus,2-s2.0-85078211443
"Kumar, N., Kumar, S., Yadav, K., Kumar, A., Singh, P.K., Srivastava, N., Singh, R.P.","57199419127; 55811766500; 57210809982; 57214420311; 57216064841; 57213494441; 55728378900","Study on thermodynamic, electronic and magnetic properties of RE2Cu2Cd(RE=Dy-Tm) intermetallics: first-principle calculation",2020,"Bulletin of Materials Science",43,"1", 81,,,,,10.1007/s12034-020-2038-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85079758332&partnerID=40&md5=85ffa6db4600024a2bf1fb91cebda1af",Article,Final,,Scopus,2-s2.0-85079758332
"Sanada, H., Stramma, A.M., Kunihashi, Y., Tanaka, Y., Gotoh, H., Onomitsu, K., Tagarelli, F., Kohda, M., Nitta, J., Sogawa, T.","18635505500; 57214117642; 24399215600; 57196390659; 7103020813; 55931363300; 57214108842; 18634605600; 7005582922; 7004174722","Spin accumulation in photo-induced potential dimples generated in semiconductors",2020,"Communications Physics",3,"1", 11,,,,,10.1038/s42005-020-0280-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85078319252&partnerID=40&md5=9b2290908bcac886595292d8a486af93",Article,Final,Open Access,Scopus,2-s2.0-85078319252
"Streckova, M., Szabo, J., Batko, I., Batkova, M., Bircakova, Z., Fuzer, J., Kollar, P., Kovalcikova, A., Bures, R., Medvecky, L.","13205271600; 56364510500; 57212558139; 11044450300; 36676822900; 6603606038; 56249508100; 26029927900; 6701784406; 55401561700","Design of Permalloy–ferrite–polymer soft magnetic composites doped by ferrite nanoparticles and visualization of magnetic domains",2020,"Bulletin of Materials Science",43,"1", 37,,,,,10.1007/s12034-019-2015-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85077070355&partnerID=40&md5=d1b667cd11d68f64a88f3a38232433ff",Article,Final,,Scopus,2-s2.0-85077070355
"Cho, S.-K., Cho, W.-J.","57215221741; 35228417400","Performance improvement in electrospun InGaZnO nanofibres field-effect-transistors using low thermal budget microwave calcination and Ar/O<inf>2</inf> mixed-plasma surface treatment",2020,"Scientific Reports",10,"1", 3645,,,,,10.1038/s41598-020-60637-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85080103959&partnerID=40&md5=80966e1713e89e6ded61cb12d046ae1f",Article,Final,Open Access,Scopus,2-s2.0-85080103959
"Pascariu, P., Cojocaru, C., Samoila, P., Airinei, A., Olaru, N., Rusu, D., Rosca, I., Suchea, M.","24071643700; 25026747600; 21835164000; 7004048170; 6603566812; 57191367005; 40661808100; 9279148000","Photocatalytic and antimicrobial activity of electrospun ZnO:Ag nanostructures",2020,"Journal of Alloys and Compounds",834,"", 155144,,,,,10.1016/j.jallcom.2020.155144,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083421729&partnerID=40&md5=99094a5505eca50b298850fba8011558",Article,Final,,Scopus,2-s2.0-85083421729
"Ma, Y., Lv, P., Duan, F., Sheng, J., Lu, S., Zhu, H., Du, M., Chen, M.","57216438622; 57216440351; 16308709000; 57216439098; 57216435924; 57216101976; 8852763100; 57216436937","Direct Z-scheme Bi<inf>2</inf>S<inf>3</inf>/BiFeO<inf>3</inf> heterojunction nanofibers with enhanced photocatalytic activity",2020,"Journal of Alloys and Compounds",834,"", 155158,,,,,10.1016/j.jallcom.2020.155158,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083484523&partnerID=40&md5=9ba49d00dac89641e989bf5d38f7fa8c",Article,Final,,Scopus,2-s2.0-85083484523
"Zhang, J., Zhao, Y.-T., Hu, P.-Y., Liu, J.-J., Liu, X.-F., Hu, M., Cui, Z., Wang, N., Niu, Z., Xiang, H.-F., Long, Y.-Z.","55900047100; 57202900570; 57203856627; 57077484100; 57208086607; 57214726757; 57216413005; 57215200079; 57216408790; 55623288400; 56024751400","Laparoscopic electrospinning for in situ hemostasis in minimally invasive operation",2020,"Chemical Engineering Journal",395,"", 125089,,,,,10.1016/j.cej.2020.125089,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083453326&partnerID=40&md5=905d0e4bbabaaeaf7e64580f8303956c",Article,Final,,Scopus,2-s2.0-85083453326
"Hussein, A., Ramasundaram, S., Kim, B.","57045383100; 24528972800; 8518454300","A novel method for fabricating bioinspired layered nanocomposites using aligned graphene oxide/PVDF and their micromechanical modeling",2020,"Materials Today Communications",24,"", 101050,,,,,10.1016/j.mtcomm.2020.101050,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85080976460&partnerID=40&md5=16061ebe581c8e446b97c11a2e5dfe72",Article,Final,,Scopus,2-s2.0-85080976460
"Karatepe, U.Y., Ozdemir, T.","57216356005; 35100799500","Improving mechanical and antibacterial properties of PMMA via polyblend electrospinning with silk fibroin and polyethyleneimine towards dental applications",2020,"Bioactive Materials",5,"3",,510,515,,,10.1016/j.bioactmat.2020.04.005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083216014&partnerID=40&md5=a43fcdc56fa51601b3b6b8dbdcfe2fdf",Article,Final,Open Access,Scopus,2-s2.0-85083216014
"Yang, X., Tian, J., Qi, H., Sheng, Y., Xie, Y., Yu, W., Dong, X.","57213607746; 56735017700; 57208745725; 57213593791; 57208739388; 39062597400; 7401797195","Electrospun aeolotropic electrically conductive neoteric janus nanostrips array functionalized by enhancive up-conversion luminescence and magnetism",2020,"Materials Today Communications",24,"", 101035,,,,,10.1016/j.mtcomm.2020.101035,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85080147258&partnerID=40&md5=b97e6ac9222d5e55e3b76089d52377bf",Article,Final,,Scopus,2-s2.0-85080147258
"Su, I., Jung, G.S., Narayanan, N., Buehler, M.J.","57094671600; 56701818800; 57215206730; 7102467930","Perspectives on three-dimensional printing of self-assembling materials and structures",2020,"Current Opinion in Biomedical Engineering",15,"",,59,67,,,10.1016/j.cobme.2020.01.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85080081800&partnerID=40&md5=cf1df1aa84d633ca992a5db922601069",Review,Final,,Scopus,2-s2.0-85080081800
"Choi, J., Cui, M., Lee, Y., Kim, J., Son, Y., Lim, J., Ma, J., Khim, J.","55810491200; 23134550900; 55809830600; 57193419988; 22836698200; 35253979700; 57193439860; 7003802447","Application of persulfate with hydrodynamic cavitation and ferrous in the decomposition of pentachlorophenol",2020,"Ultrasonics Sonochemistry",66,"", 105106,,,,,10.1016/j.ultsonch.2020.105106,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85082860993&partnerID=40&md5=faec4620c2e7eb2b80c09f0e989fc156",Article,Final,,Scopus,2-s2.0-85082860993
"Liu, H., Wang, Z., Wu, Z., Zhang, S., Ge, S., Guo, P., Hua, M., Lu, X., Wang, S., Zhang, J.","57203169615; 24765614800; 57191199913; 57216347484; 57216346116; 57194788066; 57210157157; 8913949500; 49362506700; 55505424400","Direct tuning of meso-/micro-porous structure of carbon nanofibers confining Sb nanocrystals for advanced sodium and potassium storage",2020,"Journal of Alloys and Compounds",833,"", 155127,,,,,10.1016/j.jallcom.2020.155127,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083183059&partnerID=40&md5=ad8a98eb1c8fb7b0c8c86f80dd15d8d0",Article,Final,,Scopus,2-s2.0-85083183059
"Yang, X., Zu, H., Luo, L., Zhang, H., Li, J., Yi, X., Liu, H., Wang, F., Song, J.","57216317447; 57215587291; 57193854696; 57216319020; 57216323623; 36186484100; 56230244200; 55740477700; 55699441800","Synergistic tungsten oxide/N, S co-doped carbon nanofibers interlayer as anchor of polysulfides for high-performance lithium-sulfur batteries",2020,"Journal of Alloys and Compounds",833,"", 154969,,,,,10.1016/j.jallcom.2020.154969,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083087607&partnerID=40&md5=4b0aac13f8e366cd8d1b2f75d508e222",Article,Final,,Scopus,2-s2.0-85083087607
"Yildiz, A., Vatansever Bayramol, D., Atav, R., Ağirgan, A.Ö., Aydin Kurç, M., Ergünay, U., Mayer, C., Hadimani, R.L.","55234742700; 57193361966; 14622205500; 56705384100; 57216460233; 57216457502; 57216460129; 23566606700","Synthesis and characterization of Fe<inf>3</inf>O<inf>4</inf>@Cs@Ag nanocomposite and its use in the production of magnetic and antibacterial nanofibrous membranes",2020,"Applied Surface Science",521,"", 146332,,,,,10.1016/j.apsusc.2020.146332,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083554507&partnerID=40&md5=07328bce6ad152564200a1f672e0ca1d",Article,Final,,Scopus,2-s2.0-85083554507
"Chenari, H.M., Mottaghian, F.","57034081700; 57203940569","Electrospun CuO/PVA fibers: Effects of heat treatment on the structural, surface morphology, optical and magnetic properties",2020,"Materials Science in Semiconductor Processing",115,"", 105121,,,,,10.1016/j.mssp.2020.105121,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083173954&partnerID=40&md5=6c86d6e0335d794fb4684ed47ac6d68b",Article,Final,,Scopus,2-s2.0-85083173954
"Nasir, M.S., Yang, G., Ayub, I., Wang, X., Wang, S., Nasir, A., Yan, W.","57201184706; 55638746700; 57201182635; 56113273600; 57202371488; 57216411689; 35239352200","Tin diselenide nanoflakes decorated hierarchical 1D TiO<inf>2</inf> fiber: A robust and highly efficient co-catalyst for hydrogen evolution reaction",2020,"Applied Surface Science",521,"", 146333,,,,,10.1016/j.apsusc.2020.146333,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083451185&partnerID=40&md5=3f9bf469cba8df7b09a6a2c73d92b929",Article,Final,,Scopus,2-s2.0-85083451185
"Liang, K., Li, M., Hao, Y., Yan, W., Cao, M., Fan, S., Han, W., Su, J.","57216224020; 57210706056; 57216220348; 57216224603; 57216226331; 57216223583; 55960192300; 37035227500","Reduced graphene oxide with 3D interconnected hollow channel architecture as high-performance anode for Li/Na/K-ion storage",2020,"Chemical Engineering Journal",394,"", 124956,,,,,10.1016/j.cej.2020.124956,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85082865581&partnerID=40&md5=46d0657b85958f439e95391e6d5b6acf",Article,Final,,Scopus,2-s2.0-85082865581
"Chen, Y., Wang, Z., Xu, R., Wang, W., Yu, D.","57216209258; 57161459000; 57204633095; 56943053300; 55700453800","A highly sensitive and wearable pressure sensor based on conductive polyacrylonitrile nanofibrous membrane via electroless silver plating",2020,"Chemical Engineering Journal",394,"", 124960,,,,,10.1016/j.cej.2020.124960,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85082807300&partnerID=40&md5=a26b06dfd2d76befd1159e1d8a6388ae",Article,Final,,Scopus,2-s2.0-85082807300
"Palomo, J., Rodríguez-Cano, M.Á., Rodríguez-Mirasol, J., Cordero, T.","57140034500; 57202868036; 57201824181; 57208483145","ZSM-5-decorated CuO/ZnO/ZrO<inf>2</inf> fibers as efficient bifunctional catalysts for the direct synthesis of DME from syngas",2020,"Applied Catalysis B: Environmental",270,"", 118893,,,,,10.1016/j.apcatb.2020.118893,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85082422250&partnerID=40&md5=4090fa9e7b2c8641502f6adf2984dbbd",Article,Final,,Scopus,2-s2.0-85082422250
"Nasir, M.S., Yang, G., Ayub, I., Wang, S., Yan, W.","57201184706; 55638746700; 57201182635; 57202371488; 35239352200","Tin diselinide a stable co-catalyst coupled with branched TiO<inf>2</inf> fiber and g-C<inf>3</inf>N<inf>4</inf> quantum dots for photocatalytic hydrogen evolution",2020,"Applied Catalysis B: Environmental",270,"", 118900,,,,1,10.1016/j.apcatb.2020.118900,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85082020799&partnerID=40&md5=e7dd167564344511f6e7c3a5e24b5b2c",Article,Final,,Scopus,2-s2.0-85082020799
"Jones, B., Mafukidze, D., Nyokong, T.","57194457464; 57191707054; 7005915604","Fabrication of electrospun fibers from a porphyrin linked to polyacrylonitrile polymer for photocatalytic transformation of phenols",2020,"Journal of Molecular Structure",1213,"", 128191,,,,,10.1016/j.molstruc.2020.128191,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083002356&partnerID=40&md5=9fe5552b163973564a662c6814752666",Article,Final,,Scopus,2-s2.0-85083002356
"Li, W., Liu, Y.-Y., Bai, Y., Wang, J., Pang, H.","57145438800; 57216392274; 57216389224; 55742798300; 35254533400","Anchoring ZIF-67 particles on amidoximerized polyacrylonitrile fibers for radionuclide sequestration in wastewater and seawater",2020,"Journal of Hazardous Materials",395,"", 122692,,,,,10.1016/j.jhazmat.2020.122692,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083383185&partnerID=40&md5=3cb0bc9f011faee54223d9923a593415",Article,Final,,Scopus,2-s2.0-85083383185
"Zhuang, Y., Han, S., Liu, W., Wei, X., Xu, Z.","35072139800; 57215696676; 24832373100; 7402117754; 8077831000","An interdigital electrode type sensor based on P(VDF-TrFE) nanofibers",2020,"Journal of Alloys and Compounds",831,"", 154657,,,,,10.1016/j.jallcom.2020.154657,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85081678946&partnerID=40&md5=ebdaca8ba9eb85e07a19801b64d62ca3",Article,Final,,Scopus,2-s2.0-85081678946
"Mi, K., Song, L., Nie, H., Liu, T., Li, X.","57212414447; 57212414347; 55680873100; 56232868100; 57214906988","Layer-by-layer growth of ZIF-8 on electrospun carbon nanofiber membranes for high-performance supercapacistor electrode",2020,"Journal of Energy Chemistry",47,"",,221,224,,,10.1016/j.jechem.2019.10.028,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85077979235&partnerID=40&md5=a2e924cd247ab38b91746ef92440f616",Letter,Final,,Scopus,2-s2.0-85077979235
"Eom, H., Joo, H.J., Kim, S.C., Kim, S.S.","56448265600; 7101853764; 57194611461; 57211169576","Properties of carbon-based nanofiber with Pd and its application to microbial fuel cells electrode",2020,"Environmental Technology and Innovation",19,"", 100800,,,,,10.1016/j.eti.2020.100800,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083338825&partnerID=40&md5=705c37b2e3b28d452a8d69f0836382b6",Article,Final,,Scopus,2-s2.0-85083338825
"Xu, C., Shi, S., Zhu, S., Zhang, X., Wang, X., Zhu, L., Zhang, G.","57194625851; 57201978582; 57213154346; 57215435373; 55937657100; 22037223200; 55738916900","Comparative study on electrospun magnesium silicate ceramic fibers fabricated through two synthesis routes",2020,"Materials Letters",272,"", 127837,,,,,10.1016/j.matlet.2020.127837,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083574667&partnerID=40&md5=8231ee9fd212d8bdfcae527534cf2c08",Article,Final,,Scopus,2-s2.0-85083574667
"Augustine, R., Rehman, S.R.U., Ahmed, R., Zahid, A.A., Sharifi, M., Falahati, M., Hasan, A.","55351626400; 57208652064; 57203575680; 57203782540; 57202491166; 49861179200; 55765018700","Electrospun chitosan membranes containing bioactive and therapeutic agents for enhanced wound healing",2020,"International Journal of Biological Macromolecules",156,"",,153,170,,,10.1016/j.ijbiomac.2020.03.207,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083314803&partnerID=40&md5=6808cc42d77283dbb467deae4a61d949",Review,Final,,Scopus,2-s2.0-85083314803
"Sciuti, L.F., Mercante, L.A., Correa, D.S., De Boni, L.","57196375517; 36630787400; 7004670373; 6603197191","Random laser in dye-doped electrospun nanofibers: Study of laser mode dynamics via temporal mapping of emission spectra using Pearson's correlation",2020,"Journal of Luminescence",224,"", 117281,,,,,10.1016/j.jlumin.2020.117281,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083027504&partnerID=40&md5=9276f4c08a894f83fbd6a112c9271dc3",Article,Final,,Scopus,2-s2.0-85083027504
"She, L., Zhang, F., Jia, C., Kang, L., Li, Q., He, X., Sun, J., Lei, Z., Liu, Z.-H.","56611572600; 57154783200; 57216151255; 22035033100; 57205962959; 49961516900; 57198438646; 57215792780; 7406679905","Electrospun Nb<inf>2</inf>O<inf>5</inf> nanorods/microporous multichannel carbon nanofiber film anode for Na<sup>+</sup> ion capacitors with good performance",2020,"Journal of Colloid and Interface Science",573,"",,1,10,,,10.1016/j.jcis.2020.03.122,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85082721502&partnerID=40&md5=3585a150a5ee8036c3a30de224542f95",Article,Final,,Scopus,2-s2.0-85082721502
"Vinoth, S., Kanimozhi, G., Narsimulu, D., Kumar, H., Srinadhu, E.S., Satyanarayana, N.","57201694092; 57188932783; 56741441700; 57196704372; 57188585738; 57204325613","Ionic relaxation of electrospun nanocomposite polymer-blend quasi-solid electrolyte for high photovoltaic performance of Dye-sensitized solar cells",2020,"Materials Chemistry and Physics",250,"", 122945,,,,,10.1016/j.matchemphys.2020.122945,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85082862475&partnerID=40&md5=0e42eb4605ddb1b5d0fcc893553ec555",Article,Final,,Scopus,2-s2.0-85082862475
"Li, W., Xu, H., Han, X., Sun, S., Chai, Q., Xu, X., Man, Z.","56416707600; 57216363333; 57216372854; 26637310800; 57216374473; 57216367214; 56089412000","Simultaneously promoting adhesion and osteogenic differentiation of bone marrow-derived mesenchymal cells by a functional electrospun scaffold",2020,"Colloids and Surfaces B: Biointerfaces",192,"", 111040,,,,,10.1016/j.colsurfb.2020.111040,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083339480&partnerID=40&md5=04759fa388beb0a93b50e687b37f59e0",Article,Final,,Scopus,2-s2.0-85083339480
"Fahmi, M.Z., Prasetya, R.A., Dzikri, M.F., Sakti, S.C.W., Yuliarto, B., Irzaman, Ferdiansjah","55266590600; 57216370409; 57208124581; 55571920100; 6506346884; 7409571162; 55847359600","MnFe<inf>2</inf>O<inf>4</inf> nanoparticles/cellulose acetate composite nanofiber for controllable release of naproxen",2020,"Materials Chemistry and Physics",250,"", 123055,,,,,10.1016/j.matchemphys.2020.123055,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083324072&partnerID=40&md5=c1491bc44a15ca4c0d619cd20a0d5ff4",Article,Final,,Scopus,2-s2.0-85083324072
"Schoenenberger, A.D., Tempfer, H., Lehner, C., Egloff, J., Mauracher, M., Bird, A., Widmer, J., Maniura-Weber, K., Fucentese, S.F., Traweger, A., Silvan, U., Snedeker, J.G.","57192404467; 12042276900; 23397397600; 57216364813; 57208161817; 57216373261; 57197783519; 8958169100; 6506622854; 6507267337; 8748454000; 8639317700","Macromechanics and polycaprolactone fiber organization drive macrophage polarization and regulate inflammatory activation of tendon in vitro and in vivo",2020,"Biomaterials",249,"", 120034,,,,,10.1016/j.biomaterials.2020.120034,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083328885&partnerID=40&md5=e31d5fae17118be0d6a1638302b5ddd8",Article,Final,Open Access,Scopus,2-s2.0-85083328885
"Aoudé-Werner, D., Straub, I., Zumsteeg, V., Kuntz, F.","9043724900; 42062402200; 6505453952; 6602686785","Identification of bleached and irradiated walnuts and hazelnuts by ESR spectroscopy",2020,"Radiation Physics and Chemistry",173,"", 108882,,,,,10.1016/j.radphyschem.2020.108882,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85082383104&partnerID=40&md5=3e2d73fe48a1f5493789744928d14faf",Article,Final,,Scopus,2-s2.0-85082383104
"Zhang, S., Zhang, P., Hou, R., Li, B., Zhang, Y., Liu, K., Zhang, X., Shao, G.","57197800278; 56424294700; 57214450292; 57212399581; 57193803702; 57204755893; 57214442046; 7102142357","In situ sulfur-doped graphene nanofiber network as efficient metal-free electrocatalyst for polysulfides redox reactions in lithium–sulfur batteries",2020,"Journal of Energy Chemistry",47,"",,281,290,,,10.1016/j.jechem.2020.01.033,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85080974895&partnerID=40&md5=03c05ea6be6e2c7540a8c2a609e98604",Article,Final,,Scopus,2-s2.0-85080974895
"Nasir, M.S., Yang, G., Ayub, I., Wang, S., Yan, W.","57201184706; 55638746700; 57201182635; 57202371488; 35239352200","In situ decoration of g-C<inf>3</inf>N<inf>4</inf> quantum dots on 1D branched TiO<inf>2</inf> loaded with plasmonic Au nanoparticles and improved the photocatalytic hydrogen evolution activity",2020,"Applied Surface Science",519,"", 146208,,,,1,10.1016/j.apsusc.2020.146208,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85082855725&partnerID=40&md5=d15bc1658c199fc575d1bd671a5fe66a",Article,Final,,Scopus,2-s2.0-85082855725
"Zhu, X., Li, Y., Zhang, H., Song, L., Zu, H., Qin, Y., Liu, L., Li, Y., Wang, F.","57205185420; 57215590606; 57094629500; 57193842964; 57215587291; 57189300604; 57206978574; 57215590277; 55740477700","High-performance field effect transistors based on large ratio metal (Al、Ga、Cr) doped In<inf>2</inf>O<inf>3</inf> nanofibers",2020,"Journal of Alloys and Compounds",830,"", 154578,,,,,10.1016/j.jallcom.2020.154578,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85081235822&partnerID=40&md5=3978e12bea1b7c12ae8f47064f4c3986",Article,Final,,Scopus,2-s2.0-85081235822
"Sun, F., Qi, H., Xie, Y., Ma, Q., He, W., Xu, D., Wang, G., Yu, W., Wang, T., Dong, X.","57215694571; 57208745725; 57208739388; 56875081400; 56707949000; 57215689554; 57205394253; 39062597400; 57215698211; 7401797195","Flexible self-supporting bifunctional [TiO<inf>2</inf>/C]//[Bi<inf>2</inf>WO<inf>6</inf>/C] carbon-based Janus nanofiber heterojunction photocatalysts for efficient hydrogen evolution and degradation of organic pollutant",2020,"Journal of Alloys and Compounds",830,"", 154673,,,,,10.1016/j.jallcom.2020.154673,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85081677100&partnerID=40&md5=77c2b9e3aff1428d7d311904c67cb85c",Article,Final,,Scopus,2-s2.0-85081677100
"Wang, S.-G., Lin, J., Fan, C.-Y., Li, Y.-F., Zhang, J.-P., Wu, X.-L., Sun, H.-Z., Deng, M.-X., Su, Z.-M.","56073445300; 57206195185; 56340352600; 57193280995; 56526727400; 57198470031; 7404828277; 7202079350; 57209842731","Target encapsulating NiMoO<inf>4</inf> nanocrystals into 1D carbon nanofibers as free-standing anode material for lithium-ion batteries with enhanced cycle performance",2020,"Journal of Alloys and Compounds",830,"", 154648,,,,,10.1016/j.jallcom.2020.154648,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85081299959&partnerID=40&md5=940ac02b63218d1db2e5041287c5e3f6",Article,Final,,Scopus,2-s2.0-85081299959
"Zhang, X., Wang, L., Han, L., Wang, Y., Dai, B., Song, X.","57191506509; 57204200047; 57208422460; 57209347624; 57190965020; 36875736400","Anchoring resveratrol on surface of electrospun star-shaped PCL-COOH/PLLA fibers",2020,"International Journal of Polymeric Materials and Polymeric Biomaterials",69,"11",,739,747,,,10.1080/00914037.2019.1616199,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067484821&partnerID=40&md5=a43746f527e180d4a54736e2f0154055",Article,Final,,Scopus,2-s2.0-85067484821
